datetime,chainlink_social_volume_total,hyperliquid_social_volume_total,uniswap_social_volume_total,aave_social_volume_total,ondo-finance_social_volume_total,ethereum-classic_social_volume_total,ethena_social_volume_total,maker_social_volume_total,injective-protocol_social_volume_total,lido-dao_social_volume_total,raydium_social_volume_total,dexe_social_volume_total,pyth-network_social_volume_total,pendle_social_volume_total,aerodrome-finance_social_volume_total,thorchain_social_volume_total,telcoin_social_volume_total,dydx-chain_social_volume_total,morpho_social_volume_total,just_social_volume_total,sun-token_social_volume_total,olympus_social_volume_total,1inch_social_volume_total,frax_social_volume_total,convex-finance_social_volume_total,ether-fi_social_volume_total,0x_social_volume_total,solayer_social_volume_total,frax-share_social_volume_total,stargate-finance_social_volume_total,yearn-finance_social_volume_total,babylon_social_volume_total,solana-swap_social_volume_total,osmosis_social_volume_total,crvusd_social_volume_total,orca_social_volume_total,sushi_social_volume_total,cow-protocol_social_volume_total,cetus-protocol_social_volume_total,loopring_social_volume_total,lcx_social_volume_total,band-protocol_social_volume_total,zebec-network_social_volume_total,clearpool_social_volume_total,usual_social_volume_total,rocket-pool_social_volume_total,vvs-finance_social_volume_total,uma_social_volume_total,venus_social_volume_total,moonwell-artemis_social_volume_total,api3_social_volume_total,velo_social_volume_total,compound-ether_social_volume_total,spell-token_social_volume_total,orbs_social_volume_total,tellor_social_volume_total,marlin_social_volume_total,liquity_social_volume_total,pinlink_social_volume_total,numeraire_social_volume_total,bonfida_social_volume_total,ssv-network_social_volume_total,bancor_social_volume_total,balancer_social_volume_total,oraichain-token_social_volume_total,coin98_social_volume_total,dia-data_social_volume_total,tokenfi_social_volume_total,dodo_social_volume_total,magic-internet-money_social_volume_total,dydx_social_volume_total,kujira_social_volume_total,keep-network_social_volume_total,smardex_social_volume_total,messier_social_volume_total,hashflow_social_volume_total,renzo_social_volume_total,strike_social_volume_total,acala_social_volume_total,liquity-usd_social_volume_total,parcl_social_volume_total,ampleforth_social_volume_total,wrapped-nxm_social_volume_total,whiteheart_social_volume_total,minswap_social_volume_total,hegic_social_volume_total,insure_social_volume_total,derive_social_volume_total,suilend_social_volume_total,saucerswap_social_volume_total,tao-bot_social_volume_total,alpaca-finance_social_volume_total,bluefin_social_volume_total,compound-usd-coin_social_volume_total,paraswap_social_volume_total,orderly-network_social_volume_total,bella-protocol_social_volume_total,degate_social_volume_total,stafi_social_volume_total,unizen_social_volume_total,melon_social_volume_total,chainflip_social_volume_total,seth_social_volume_total,alchemix_social_volume_total,wanchain_social_volume_total,perpetual-protocol_social_volume_total,harvest-finance_social_volume_total,step-finance_social_volume_total,badger-dao_social_volume_total,stake-dao_social_volume_total,polkastarter_social_volume_total,synfutures_social_volume_total,lever_social_volume_total,mango-markets_social_volume_total,vertex-protocol_social_volume_total,adshares_social_volume_total,quickswap_social_volume_total,dolomite_social_volume_total,ramp_social_volume_total,inverse-finance_social_volume_total,beefy-finance_social_volume_total,tokemak_social_volume_total,ribbon-finance_social_volume_total,tranchess_social_volume_total,cryptex-finance_social_volume_total,odos_social_volume_total,kryll_social_volume_total,hatom_social_volume_total,ellipsis_social_volume_total,orion-protocol_social_volume_total,aura-finance_social_volume_total,hydranet_social_volume_total,evervalue-coin_social_volume_total,airswap_social_volume_total,trustswap_social_volume_total
2023-07-03 00:00:00+00:00,126.0,,46.0,9.0,,292.0,,33.0,16.0,4.0,3.0,0.0,,27.0,0.0,10.0,4.0,,,0.0,0.0,0.0,0.0,13.0,0.0,,0.0,,3.0,0.0,4.0,,,12.0,4.0,,0.0,4.0,,31.0,0.0,8.0,,0.0,,9.0,0.0,21.0,1.0,,1.0,0.0,0.0,11.0,0.0,0.0,0.0,2.0,,1.0,0.0,0.0,10.0,0.0,2.0,0.0,17.0,0.0,1.0,3.0,3.0,,21.0,0.0,1.0,1.0,0.0,28.0,2.0,0.0,,7.0,0.0,0.0,,0.0,2.0,,,,,3.0,,0.0,0.0,,1.0,0.0,0.0,0.0,1.0,31.0,0.0,0.0,9.0,2.0,26.0,0.0,1.0,2.0,0.0,,3.0,0.0,,29.0,89.0,,15.0,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,,3.0,3.0,4.0,,,0.0,0.0
2023-07-04 00:00:00+00:00,107.0,,40.0,11.0,,248.0,,25.0,11.0,4.0,7.0,1.0,,15.0,0.0,16.0,0.0,,,0.0,0.0,1.0,3.0,12.0,5.0,,2.0,,4.0,0.0,5.0,,,11.0,16.0,,2.0,4.0,,55.0,0.0,13.0,,0.0,,21.0,1.0,18.0,0.0,,1.0,1.0,0.0,9.0,0.0,4.0,1.0,0.0,,0.0,0.0,0.0,4.0,1.0,0.0,0.0,46.0,0.0,1.0,4.0,11.0,,20.0,1.0,0.0,0.0,0.0,28.0,1.0,0.0,,9.0,0.0,0.0,,0.0,7.0,,,,,3.0,,0.0,0.0,,2.0,0.0,0.0,0.0,1.0,31.0,3.0,2.0,17.0,5.0,31.0,1.0,0.0,0.0,0.0,,0.0,0.0,,24.0,117.0,,14.0,1.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,2.0,,,0.0,1.0
2023-07-05 00:00:00+00:00,189.0,,45.0,19.0,,281.0,,34.0,13.0,3.0,5.0,7.0,,14.0,0.0,5.0,7.0,,,0.0,0.0,7.0,2.0,9.0,2.0,,2.0,,2.0,2.0,2.0,,,4.0,18.0,,1.0,4.0,,42.0,6.0,11.0,,0.0,,8.0,0.0,39.0,0.0,,3.0,1.0,0.0,8.0,0.0,1.0,5.0,1.0,,0.0,0.0,0.0,4.0,2.0,0.0,0.0,24.0,0.0,0.0,4.0,7.0,,31.0,0.0,1.0,0.0,0.0,22.0,2.0,0.0,,3.0,0.0,0.0,,0.0,2.0,,,,,5.0,,0.0,1.0,,0.0,1.0,4.0,0.0,4.0,27.0,3.0,4.0,18.0,3.0,32.0,1.0,1.0,0.0,5.0,,0.0,0.0,,36.0,98.0,,6.0,0.0,8.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,1.0,,,0.0,0.0
2023-07-06 00:00:00+00:00,147.0,,43.0,15.0,,279.0,,25.0,24.0,3.0,11.0,0.0,,9.0,0.0,10.0,6.0,,,0.0,0.0,1.0,5.0,31.0,6.0,,5.0,,31.0,2.0,5.0,,,6.0,7.0,,5.0,10.0,,25.0,3.0,19.0,,0.0,,3.0,0.0,23.0,1.0,,3.0,2.0,0.0,18.0,0.0,1.0,14.0,3.0,,0.0,1.0,1.0,6.0,1.0,0.0,0.0,25.0,0.0,1.0,9.0,5.0,,23.0,1.0,0.0,3.0,0.0,30.0,0.0,2.0,,4.0,0.0,0.0,,0.0,0.0,,,,,9.0,,0.0,4.0,,1.0,0.0,1.0,0.0,2.0,34.0,10.0,1.0,16.0,4.0,36.0,1.0,0.0,1.0,1.0,,2.0,1.0,,42.0,126.0,,13.0,0.0,0.0,0.0,0.0,0.0,0.0,,2.0,,1.0,0.0,1.0,,,0.0,1.0
2023-07-07 00:00:00+00:00,103.0,,37.0,7.0,,282.0,,23.0,12.0,9.0,10.0,0.0,,1.0,0.0,18.0,5.0,,,4.0,0.0,4.0,8.0,19.0,0.0,,0.0,,14.0,0.0,7.0,,,6.0,12.0,,2.0,8.0,,46.0,6.0,11.0,,0.0,,4.0,0.0,23.0,3.0,,0.0,1.0,0.0,17.0,0.0,0.0,9.0,0.0,,0.0,1.0,1.0,6.0,3.0,1.0,1.0,16.0,0.0,0.0,6.0,3.0,,17.0,0.0,0.0,0.0,0.0,18.0,1.0,4.0,,4.0,0.0,0.0,,1.0,3.0,,,,,1.0,,0.0,0.0,,13.0,4.0,1.0,2.0,3.0,24.0,1.0,1.0,34.0,3.0,61.0,0.0,1.0,2.0,0.0,,2.0,0.0,,30.0,109.0,,16.0,0.0,0.0,4.0,1.0,0.0,1.0,,0.0,,2.0,0.0,0.0,,,0.0,0.0
2023-07-08 00:00:00+00:00,211.0,,38.0,13.0,,280.0,,26.0,24.0,14.0,3.0,1.0,,7.0,0.0,12.0,4.0,,,0.0,0.0,1.0,1.0,22.0,4.0,,1.0,,6.0,0.0,2.0,,,16.0,8.0,,5.0,3.0,,47.0,5.0,9.0,,0.0,,3.0,0.0,19.0,1.0,,1.0,2.0,0.0,3.0,0.0,1.0,15.0,1.0,,0.0,0.0,0.0,1.0,1.0,2.0,1.0,33.0,0.0,0.0,5.0,6.0,,14.0,0.0,0.0,0.0,0.0,29.0,3.0,1.0,,4.0,0.0,0.0,,0.0,2.0,,,,,3.0,,0.0,0.0,,6.0,1.0,2.0,2.0,1.0,34.0,3.0,0.0,12.0,2.0,38.0,3.0,0.0,2.0,0.0,,1.0,0.0,,25.0,100.0,,13.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,2.0,,,0.0,0.0
2023-07-09 00:00:00+00:00,97.0,,22.0,2.0,,219.0,,21.0,30.0,13.0,2.0,0.0,,7.0,0.0,13.0,2.0,,,0.0,0.0,0.0,14.0,3.0,4.0,,1.0,,7.0,0.0,4.0,,,6.0,13.0,,2.0,3.0,,79.0,15.0,13.0,,0.0,,8.0,2.0,1.0,0.0,,2.0,1.0,0.0,5.0,0.0,0.0,16.0,0.0,,1.0,0.0,0.0,5.0,5.0,2.0,0.0,14.0,0.0,0.0,2.0,4.0,,14.0,0.0,0.0,1.0,0.0,13.0,4.0,0.0,,1.0,0.0,0.0,,0.0,4.0,,,,,8.0,,0.0,0.0,,9.0,0.0,0.0,4.0,0.0,45.0,2.0,0.0,14.0,2.0,18.0,1.0,0.0,2.0,1.0,,1.0,0.0,,11.0,61.0,,14.0,1.0,2.0,3.0,0.0,0.0,0.0,,0.0,,0.0,2.0,2.0,,,0.0,0.0
2023-07-10 00:00:00+00:00,75.0,,56.0,17.0,,233.0,,21.0,27.0,8.0,3.0,0.0,,6.0,0.0,17.0,13.0,,,1.0,0.0,0.0,1.0,19.0,1.0,,2.0,,2.0,8.0,5.0,,,4.0,15.0,,5.0,2.0,,52.0,6.0,13.0,,0.0,,26.0,0.0,7.0,4.0,,0.0,1.0,3.0,5.0,0.0,2.0,7.0,2.0,,1.0,0.0,0.0,5.0,0.0,1.0,0.0,16.0,0.0,2.0,0.0,4.0,,20.0,4.0,0.0,0.0,1.0,13.0,1.0,4.0,,4.0,0.0,0.0,,0.0,0.0,,,,,4.0,,0.0,1.0,,1.0,0.0,1.0,9.0,2.0,48.0,1.0,1.0,9.0,4.0,31.0,1.0,1.0,3.0,0.0,,8.0,0.0,,26.0,103.0,,10.0,4.0,2.0,2.0,0.0,0.0,0.0,,1.0,,1.0,0.0,1.0,,,1.0,2.0
2023-07-11 00:00:00+00:00,121.0,,46.0,24.0,,242.0,,26.0,33.0,7.0,6.0,1.0,,13.0,0.0,22.0,10.0,,,1.0,0.0,1.0,2.0,15.0,2.0,,1.0,,3.0,4.0,3.0,,,3.0,12.0,,2.0,1.0,,40.0,8.0,13.0,,0.0,,10.0,0.0,20.0,2.0,,3.0,2.0,0.0,4.0,0.0,0.0,13.0,3.0,,0.0,1.0,0.0,12.0,5.0,2.0,0.0,18.0,0.0,1.0,11.0,6.0,,18.0,0.0,0.0,0.0,0.0,30.0,9.0,0.0,,2.0,0.0,0.0,,0.0,0.0,,,,,3.0,,0.0,0.0,,0.0,1.0,0.0,6.0,5.0,35.0,0.0,1.0,14.0,5.0,32.0,0.0,3.0,1.0,1.0,,1.0,0.0,,21.0,122.0,,14.0,0.0,2.0,3.0,0.0,0.0,0.0,,0.0,,1.0,0.0,1.0,,,0.0,1.0
2023-07-12 00:00:00+00:00,146.0,,45.0,30.0,,325.0,,26.0,32.0,5.0,8.0,0.0,,4.0,0.0,23.0,11.0,,,1.0,0.0,1.0,12.0,11.0,5.0,,2.0,,3.0,1.0,2.0,,,1.0,6.0,,5.0,6.0,,40.0,9.0,17.0,,0.0,,6.0,0.0,34.0,1.0,,2.0,1.0,0.0,6.0,0.0,0.0,8.0,25.0,,1.0,3.0,0.0,1.0,3.0,4.0,2.0,51.0,0.0,0.0,3.0,3.0,,35.0,4.0,0.0,5.0,1.0,30.0,5.0,2.0,,8.0,0.0,0.0,,0.0,4.0,,,,,4.0,,0.0,0.0,,1.0,1.0,3.0,1.0,5.0,31.0,2.0,0.0,14.0,5.0,43.0,2.0,0.0,2.0,0.0,,0.0,0.0,,28.0,125.0,,16.0,0.0,0.0,0.0,7.0,1.0,0.0,,0.0,,3.0,0.0,1.0,,,0.0,0.0
2023-07-13 00:00:00+00:00,161.0,,77.0,21.0,,312.0,,44.0,40.0,3.0,12.0,0.0,,7.0,0.0,28.0,9.0,,,1.0,1.0,1.0,6.0,15.0,2.0,,2.0,,6.0,7.0,4.0,,,10.0,9.0,,7.0,14.0,,48.0,7.0,41.0,,1.0,,5.0,2.0,25.0,1.0,,3.0,2.0,0.0,15.0,0.0,2.0,7.0,32.0,,0.0,1.0,0.0,10.0,1.0,8.0,2.0,55.0,0.0,0.0,10.0,6.0,,20.0,9.0,0.0,1.0,2.0,57.0,1.0,2.0,,5.0,0.0,0.0,,0.0,1.0,,,,,5.0,,0.0,0.0,,1.0,5.0,1.0,3.0,8.0,89.0,0.0,1.0,15.0,1.0,55.0,0.0,2.0,1.0,1.0,,6.0,0.0,,55.0,142.0,,19.0,0.0,0.0,1.0,1.0,0.0,0.0,,1.0,,16.0,1.0,2.0,,,1.0,0.0
2023-07-14 00:00:00+00:00,208.0,,63.0,12.0,,315.0,,36.0,98.0,37.0,5.0,0.0,,11.0,0.0,17.0,25.0,,,0.0,1.0,6.0,2.0,14.0,4.0,,3.0,,5.0,3.0,6.0,,,7.0,9.0,,7.0,9.0,,27.0,3.0,28.0,,0.0,,5.0,2.0,30.0,5.0,,1.0,0.0,0.0,15.0,2.0,1.0,8.0,25.0,,0.0,1.0,0.0,3.0,4.0,2.0,0.0,27.0,0.0,2.0,4.0,2.0,,35.0,2.0,0.0,1.0,0.0,64.0,0.0,10.0,,5.0,0.0,0.0,,0.0,0.0,,,,,5.0,,0.0,1.0,,8.0,0.0,1.0,6.0,4.0,78.0,4.0,1.0,40.0,8.0,34.0,4.0,1.0,0.0,1.0,,5.0,0.0,,37.0,135.0,,11.0,4.0,0.0,0.0,1.0,0.0,0.0,,0.0,,18.0,1.0,2.0,,,0.0,0.0
2023-07-15 00:00:00+00:00,217.0,,31.0,20.0,,296.0,,35.0,55.0,20.0,13.0,0.0,,17.0,0.0,19.0,14.0,,,5.0,0.0,1.0,2.0,5.0,0.0,,2.0,,1.0,0.0,0.0,,,8.0,5.0,,5.0,9.0,,41.0,3.0,36.0,,0.0,,3.0,0.0,20.0,1.0,,1.0,2.0,0.0,7.0,0.0,0.0,8.0,9.0,,0.0,1.0,1.0,10.0,1.0,4.0,0.0,17.0,0.0,0.0,8.0,9.0,,19.0,2.0,1.0,1.0,0.0,43.0,3.0,1.0,,2.0,0.0,0.0,,1.0,1.0,,,,,0.0,,0.0,0.0,,0.0,1.0,2.0,1.0,1.0,29.0,1.0,0.0,10.0,7.0,41.0,1.0,1.0,2.0,1.0,,5.0,0.0,,30.0,93.0,,7.0,1.0,0.0,1.0,1.0,0.0,0.0,,0.0,,1.0,1.0,2.0,,,1.0,0.0
